student_id,student_name,first_name,last_name,date_of_birth,grade_level,site,ethnicity,free_reduced_lunch,enrollment_date,email,guardian_phone
STU0234,james mcdonald,James,Mcdonald,2007-07-17,8th,West Loop,Asian,1,"August 19, 2023",katherine08@example.com,(203)318-3752
STU0243,CHRISTOPHER HICKS,Christopher,Hicks,24 Aug 2010,Grade 10,Hyde Park,,0,08 Aug 2023,krodriguez@example.net,
STU0216,J. Mata,Jim,Mata,"December 30, 2010",senior,Pilsen,Hispanic,TRUE,09-23-2023,cortezashley@example.com,
STU0213,jennifer bryant,,Bryant,"January 10, 2009",11,West Loop,,No,08-16-2023,robin95@example.org,+1-484-740-4623x30315
STU0045,Christine J.,Christine,Jimenez,"December 22, 2010",Grade 10,Englewood,White,No,14 Sep 2023,anthony10@example.com,3573799463
STU0241,Martha F.,Martha,Flores,10/20/2014,Grade 10,West Loop,White,TRUE,"September 07, 2023",,(623)420-6142x859
STU0164,Mary T.,Mary,Turner,,8th,South Side,White,1,08-24-2023,mark90@example.net,
STU0078,D. White,Dale,White,05-24-2008,10,,,No,09-10-2023,gmckinney@example.org,470.582.8718x85839
STU0041,J. Edwards,Joshua,Edwards,"June 04, 2011",sophomore,Hyde Park,White,Yes,08/25/2023,sanchezraymond@example.org,833.680.8960x059
STU0146,"Gilbert, Michelle",Michelle,Gilbert,2013-04-23,7,West Loop,Black or African American,1,09-17-2023,justin56@example.com,(720)872-1815
STU0266,"Everett, Daniel",Daniel,,04/01/2011,Grade 8,Englewood,Asian,yes,2023-08-26,daymichael@example.org,
STU0032,Michael M.,Michael,Mcdonald,04-28-2008,6th,South Side,Black or African American,Yes,05 Aug 2023,garciasheila@example.net,946.717.6403x35908
STU0056,Walter Young,Walter,Young,10-14-2014,11th,Pilsen,Black or African American,Y,10 Aug 2023,,001-789-269-6992x818
STU0091,"Jones, Matthew",Matthew,Jones,2011-09-19,10th,Englewood,,TRUE,08-24-2023,agordon@example.net,203-535-5807x7762
STU0202,EDWARD MORTON,,Morton,"August 07, 2008",6th,West Loop,,1,08/05/2023,michael00@example.com,941-289-0942
STU0077,JEFFREY CARROLL,Jeffrey,Carroll,03/24/2012,Grade 6,South Side,White,No,08/02/2023,tonyacruz@example.com,001-358-718-6330x78952
STU0003,Tyler White,Tyler,White,,12th,Hyde Park,White,,08-25-2023,wendysanchez@example.org,001-662-282-9926x85425
STU0252,S. Murillo,,Murillo,,9th,Pilsen,Hispanic,1,23 Sep 2023,katierobles@example.org,+1-514-944-2044
STU0240,michael adams,Michael,Adams,2008-06-25,Grade 9,Hyde Park,White,TRUE,08/17/2023,carl28@example.org,309.270.5120x42890
STU0287,daniel kim,Daniel,,06-29-2011,eighth,Hyde Park,Hispanic,N,2023-09-05,,
STU0132,"Mcmillan, Brent",,Mcmillan,05-04-2009,Grade 11,Hyde Park,Black or African American,TRUE,08-22-2023,william93@example.com,330-351-4012
STU0149,"Griffin, Michael",Michael,Griffin,"July 08, 2011",9,Englewood,Asian,No,2023-08-10,allenjared@example.net,(915)755-1908
STU0050,MICHAEL HARTMAN,Michael,Hartman,05/04/2007,10th,Englewood,,TRUE,09/13/2023,lturner@example.com,
STU0107,"Lynn, Julia",,Lynn,12/18/2010,6th,Hyde Park,Asian,Yes,08-18-2023,tjohnson@example.net,(729)538-6067x173
STU0230,nicholas kelly,Nicholas,Kelly,07 Sep 2009,7th,South Side,,No,2023-08-23,psimmons@example.com,(347)422-7120x56408
STU0111,MICHAEL ROBERTS,,Roberts,2013-07-21,Grade 11,Englewood,Asian,N,09-11-2023,xsandoval@example.net,(933)219-9751x300
STU0258,"Carter, Laurie",Laurie,Carter,05-15-2012,eighth,West Loop,Multiracial,No,18 Aug 2023,amendoza@example.org,
STU0242,"Ramsey, Russell",,Ramsey,12/01/2011,6,,White,yes,08-24-2023,stevenrivera@example.org,477.567.0517x23886
